"","Year","ADM_RATE_ALL","COSTT4_A","UGDS_BLACK","PPTUG_EF","INC_PCT_LO","UG25abv","PAR_ED_PCT_1STGEN","PCTFLOAN","C150_4"
"241",2011,0.5638,35507,0.0598,0.0612,0.265822785,0.114,0.311365807,0.7364,0.6301
"242",2011,0.6754,19655,0.0615,0.0552,0.275741274,0.0651,0.343589066,0.5723,0.5626
"243",2011,0.6882,31248,0.121,0.19,0.438879457,0.3692,0.402234637,0.7543,0.5065
"244",2011,0.6085,43838,0.0356,0.0153,0.168659534,0.027,0.181640625,0.604,0.7269
"245",2011,0.3691,18743,0.2541,0.4816,0.533678757,0.5571,0.514767933,0.6027,0.2826
"246",2011,0.6846,46444,0.0827,0.0058,0.237373737,0.0075,0.168865435,0.5211,0.6625
"247",2011,0.5951,34273,0.0271,0.0436,0.226244344,0.1209,0.248815166,0.7107,0.7268
"248",2011,0.9514,30774,0.0488,0.0434,0.250388803,0.1389,0.285240464,0.5075,0.5628
"249",2011,0.6747,38200,0.0451,0.0038,0.198501873,0.0066,0.294466403,0.6133,0.7094
"250",2011,0.8397,31172,0.0713,0.0423,0.289036545,0.0488,0.263537906,0.6946,0.1267
"251",2011,0.8843,31510,0.0159,0.0735,0.232323232,0.1533,0.318739054,0.6778,0.6164
"252",2011,0.9104,19216,0.0778,0.2832,0.458219288,0.2761,0.443777582,0.5582,0.2666
"253",2011,0.6934,19956,0.1064,0.251,0.405232248,0.3357,0.41500484,0.5396,0.3247
"254",2011,0.716,17069,0.06,0.1622,0.344770223,0.1875,0.41091314,0.5498,0.3771
"255",2011,0.7006,15643,0.0432,0.3003,0.452581032,0.3277,0.496031746,0.4194,0.2147
"256",2011,0.7067,16025,0.0788,0.3094,0.474530831,0.3134,0.462793734,0.4401,0.2248
"257",2011,0.7693,16486,0.0635,0.3256,0.444760101,0.3335,0.465258856,0.4267,0.2696
"258",2011,0.6364,14166,0.038,0.3299,0.46638207,0.3776,0.537934969,0.4709,0.1937
"259",2011,0.7359,25772,0.251,0.1899,0.724326852,0.672,0.539845648,0.8653,0.2174
"260",2011,0.7359,25985,0.0908,0.3057,0.724326852,0.6783,0.539845648,0.903,0.2466
"261",2011,0.7359,27535,0.0916,0.4807,0.724326852,0.7698,0.539845648,0.8022,0.1636
"262",2011,0.6432,34797,0.0304,0.0047,0.257438551,0.0193,0.402489627,0.8875,0.5137
"263",2011,0.5353,36632,0.1777,0.2077,0.369843528,0.3777,0.378190255,0.7566,0.582
"264",2011,0.7176,31339,0.1671,0.0861,0.372382504,0.6674,0.492471443,0.6637,0.665
"265",2011,0.2429,53239,0.0303,0.0026,0.100607112,0.0019,0.10079929,0.5747,0.9588
"266",2011,0.4653,14367,0.1702,0.3194,0.459821429,0.3485,0.489983022,0.4898,0.2845
"267",2011,0.7095,13124,0.05,0.2746,0.448186529,0.2344,0.497168743,0.4806,0.2343
"268",2011,0.5382,30243,0.0718,0.1638,0.344325153,0.2418,0.414574899,0.9063,0.5392
"269",2011,0.6009,34431,0.1043,0.0421,0.301094891,0.1523,0.371031746,0.5983,0.5752
"270",2011,0.5088,36450,0.0358,0.594,0.486486487,0.7356,0.483940043,0.7922,0.5658
"271",2011,0.8396,43200,0.0154,0.0034,0.120287253,0.0093,0.171641791,0.6373,0.7878
"272",2011,0.838,36084,0.0197,0.0272,0.190410959,0.0481,0.162889518,0.4088,0.8039
"273",2011,0.7132,38945,0.0382,0.0255,0.368811881,0.0259,0.435512368,0.7515,0.4444
"274",2011,0.7433,39887,0.0528,0.0373,0.220979021,0.0669,0.269230769,0.6654,0.7083
"275",2011,0.75,27651,0.0287,0.2644,0.248427673,0.3534,0.333333333,0.8282,0.5
"276",2011,0.6384,36270,0.0261,0.1198,0.46007984,0.4365,0.387096774,0.8369,0.549
"277",2011,0.7315,38962,0.0208,0.0188,0.15308642,0.0256,0.220663265,0.7506,0.6339
"278",2011,0.7436,34279,0.0268,0.1195,0.260504202,0.2135,0.393559928,0.7543,0.6013
"279",2011,0.6432,41750,0.0295,0.0151,0.193265007,0.0446,0.212933754,0.8216,0.693
"280",2011,0.455,42820,0.0529,0.0084,0.238952537,0.01,0.236234458,0.691,0.6991
"281",2011,0.7963,33854,0.0103,0.0081,0.149001536,0.0172,0.220285262,0.6904,0.6621
"282",2011,0.6317,39550,0.0341,0.0484,0.169198895,0.0471,0.161059413,0.5515,0.7763
"283",2011,0.504,31902,0.0944,0.1215,0.376947041,0.2314,0.374002281,0.658,0.5059
"284",2011,0.9307,29512,0.0716,0.1685,0.360289283,0.2834,0.344729345,0.879,0.4074
"285",2011,0.448,49062,0.0549,6e-04,0.235514019,0.0142,0.145669291,0.3849,0.8779
"286",2011,0.6433,33428,0.0837,0.2227,0.415289256,0.2807,0.454545455,0.703,0.2519
"287",2011,0.7214,42707,0.0137,0.0025,0.124637681,0.0101,0.143001007,0.705,0.6932
"288",2011,0.4112,34563,0.0807,0.0432,0.746268657,0.4029,0.319502075,0.6648,0.5
"289",2011,0.5483,23694,0.0402,0.4744,0.409972299,0.4646,0.362670713,0.799,0.5
"290",2011,0.6017,34038,0.0149,0.0196,0.223489168,0.0598,0.264884569,0.7872,0.5728
"291",2011,0.6994,34300,0.035,0.3967,0.311627907,0.4441,0.358024691,0.9625,0.6022
"292",2011,0.9004,23329,0.3405,1e-04,0.765990612,0.8745,0.568963958,0.7657,0.2206
"293",2011,0.7438,35452,0.0144,0.0236,0.188253012,0.0248,0.215070644,0.7023,0.6551
"294",2011,0.8392,35945,0.0328,0.1191,0.247893258,0.1628,0.300222387,0.6879,0.6183
"295",2011,0.8482,37772,0.0226,0.2323,0.21845175,0.2323,0.27131783,0.7446,0.6875
"296",2011,0.7604,39312,0.066,0.0142,0.179661017,0.0122,0.208133971,0.7403,0.6313
"297",2011,0.9211,34990,0.0963,0.4322,0.277097902,0.7528,0.39640492,0.8109,0.5481
"298",2011,0.5882,34602,0.0415,0.0061,0.168997669,0.0196,0.195863747,0.5824,0.5578
"299",2011,0.5969,30700,0.0912,0.0086,0.288607595,0.0479,0.308943089,0.7623,0.4189
"300",2011,0.8226,14642,0.0603,0.0975,0.370867769,0.1838,0.384918402,0.6399,0.427
"301",2011,0.6402,29922,0.0993,0.195,0.409610984,0.4947,0.420253165,0.7454,0.2517
"302",2011,0.4465,7760,0,0.068,0.681017613,0.2736,0.447488585,0,0.3533
"303",2011,0.5868,32000,0.0984,0.0872,0.29137931,0.143,0.376647834,0.8642,0.4219
